                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5058,                 3.0311,                 1.6072,                0.88351,                0.31435,                0.49684,                0.27133,                 1.4097,                 3.5094,                 1.3269,              0.0032955,              0.0032955,              0.0032955
                      2,                 1.2135,                 1.5579,                 1.2288,                0.60511,                0.50044,                0.52946,                0.27809,                 1.5358,                 2.0294,                 1.5519,              0.0066157,              0.0066157,              0.0066157
                      3,                 1.2325,                 1.2075,                 1.2367,                 0.3204,                0.37042,                0.23488,                0.10229,                 1.9232,                 2.5173,                 1.7752,              0.0099227,              0.0099227,              0.0099227
                      4,                 1.2525,                 1.0473,                 1.2539,                0.69115,                0.64136,                0.65568,                0.39009,                 1.4499,                 1.2874,                 1.4708,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1958,                0.92353,                 1.2282,                0.58218,                0.39703,                0.44254,                0.24317,                 1.6677,                 1.8534,                 1.5501,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.1547,                0.86122,                 1.2062,                0.57471,                0.50704,                0.48076,                0.24868,                 1.7335,                 1.7732,                 1.7704,               0.009901,               0.009901,               0.009901
                      7,                  1.128,                0.81609,                 1.1894,                0.50687,                0.54188,                 0.4384,                0.21749,                 1.8438,                 1.9984,                 1.8841,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1152,                0.79419,                 1.1849,                0.48425,                0.44328,                 0.3102,                0.14214,                  2.041,                  2.625,                  2.041,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0767,                0.75583,                 1.1681,                0.73393,                0.66798,                0.69253,                0.43038,                 1.3469,                 1.1937,                 1.3842,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.0575,                0.73526,                 1.1552,                0.86754,                0.73726,                0.82916,                 0.5667,                  1.161,                0.81269,                 1.2327,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0447,                0.71424,                 1.1447,                0.55021,                0.50702,                0.45864,                 0.2236,                 1.9592,                 2.0635,                 1.8546,               0.009802,               0.009802,               0.009802
                     12,                 1.0254,                0.70286,                 1.1365,                0.79194,                0.61943,                0.68892,                0.45301,                 1.2853,                  1.188,                 1.2925,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0203,                0.69209,                 1.1331,                 0.9306,                0.81908,                0.91047,                0.67413,                0.95961,                0.61951,                 1.0884,              0.0097624,              0.0097624,              0.0097624
                     14,                0.99762,                0.67515,                 1.1194,                0.45754,                 0.4952,                0.36386,                0.18292,                 1.9758,                 2.5339,                 2.0756,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0007,                0.65776,                 1.1178,                0.82628,                0.55759,                 0.6686,                0.39134,                 1.5294,                 1.2153,                 1.4789,              0.0097228,              0.0097228,              0.0097228
                     16,                0.98369,                0.64672,                 1.1183,                0.92857,                0.83595,                0.92368,                0.69053,                0.91917,                0.58363,                  1.064,               0.009703,               0.009703,               0.009703
                     17,                0.97356,                0.62915,                 1.1006,                0.75723,                0.64354,                0.69725,                0.43037,                 1.4236,                 1.0767,                 1.4455,              0.0096832,              0.0096832,              0.0096832
                     18,                0.97049,                0.62221,                 1.1036,                 0.8354,                0.72411,                0.79739,                0.54567,                 1.1835,                0.87232,                 1.2582,              0.0096634,              0.0096634,              0.0096634
                     19,                0.95871,                0.62136,                 1.0978,                0.63892,                0.42321,                0.46399,                0.22168,                 2.0038,                 1.8893,                 1.7347,              0.0096436,              0.0096436,              0.0096436
                     20,                0.95024,                 0.6155,                 1.0976,                0.90616,                0.79625,                0.88261,                0.63845,                 1.0144,                0.70632,                 1.1085,              0.0096238,              0.0096238,              0.0096238
                     21,                 0.9426,                0.59562,                 1.0842,                0.74988,                0.60209,                0.62938,                0.38546,                 1.4228,                 2.2981,                 1.4107,               0.009604,               0.009604,               0.009604
                     22,                0.93925,                0.59726,                 1.0857,                0.89973,                0.79407,                0.87385,                0.61451,                 1.0891,                0.69856,                 1.1619,              0.0095842,              0.0095842,              0.0095842
                     23,                0.92284,                0.57964,                  1.078,                  0.946,                0.87138,                0.94437,                0.72464,                0.87817,                 0.5025,                 1.0286,              0.0095644,              0.0095644,              0.0095644
                     24,                0.91922,                0.57573,                  1.078,                0.93124,                0.88787,                0.94771,                0.73827,                0.85331,                0.46933,                 1.0205,              0.0095446,              0.0095446,              0.0095446
                     25,                0.91177,                0.57207,                 1.0676,                0.94464,                0.87849,                 0.9447,                0.72923,                0.84566,                0.48057,                 1.0138,              0.0095248,              0.0095248,              0.0095248
                     26,                0.90016,                0.55508,                 1.0634,                0.93789,                0.83007,                0.91473,                0.68623,                0.93857,                0.56438,                 1.0689,               0.009505,               0.009505,               0.009505
                     27,                0.90379,                 0.5598,                 1.0648,                0.90293,                0.75654,                0.84677,                0.58978,                  1.119,                0.72547,                 1.1679,              0.0094852,              0.0094852,              0.0094852
                     28,                 0.8901,                0.54763,                 1.0611,                0.94499,                0.85384,                0.93671,                0.71519,                0.88345,                0.49911,                 1.0308,              0.0094654,              0.0094654,              0.0094654
                     29,                0.89638,                0.55362,                   1.06,                0.94098,                0.84686,                0.92879,                0.70036,                0.91178,                 0.5269,                 1.0406,              0.0094456,              0.0094456,              0.0094456
                     30,                0.88616,                0.54121,                 1.0531,                 0.8836,                0.81021,                0.89143,                0.67223,                0.95957,                0.59852,                 1.0723,              0.0094258,              0.0094258,              0.0094258
                     31,                0.88511,                0.54312,                  1.055,                0.86282,                0.74913,                0.83221,                0.54587,                 1.2172,                 0.7802,                 1.2722,               0.009406,               0.009406,               0.009406
                     32,                0.86826,                0.52243,                 1.0442,                0.88048,                0.65052,                0.77397,                0.53121,                 1.2064,                 0.9062,                  1.203,              0.0093862,              0.0093862,              0.0093862
                     33,                0.86499,                0.53482,                 1.0408,                0.46228,                0.44023,                  0.314,                0.14807,                 2.1699,                 2.6631,                 2.3095,              0.0093664,              0.0093664,              0.0093664
                     34,                0.87449,                 0.5288,                  1.044,                0.92738,                0.84031,                0.92318,                0.70086,                0.91854,                0.53567,                 1.0465,              0.0093466,              0.0093466,              0.0093466
                     35,                0.87228,                0.52676,                 1.0438,                0.96619,                0.88743,                 0.9567,                0.75608,                0.82366,                0.44067,                0.98588,              0.0093268,              0.0093268,              0.0093268
                     36,                 0.8547,                0.51666,                 1.0362,                 0.8643,                 0.7452,                0.83017,                0.56878,                 1.1343,                0.78938,                 1.1973,               0.009307,               0.009307,               0.009307
                     37,                0.85122,                0.51087,                 1.0349,                 0.6783,                0.61562,                0.66008,                0.41634,                 1.3826,                 1.1702,                 1.4041,              0.0092872,              0.0092872,              0.0092872
                     38,                0.84389,                0.50425,                 1.0315,                0.87048,                0.67016,                0.76282,                0.50952,                  1.263,                 1.0792,                 1.2394,              0.0092674,              0.0092674,              0.0092674
                     39,                 0.8483,                0.51059,                 1.0297,                0.84657,                0.70724,                0.78293,                0.51665,                  1.236,                 0.9022,                 1.2442,              0.0092476,              0.0092476,              0.0092476
                     40,                 0.8415,                0.50515,                 1.0319,                0.87442,                0.75087,                0.84219,                 0.5952,                 1.0954,                0.74037,                  1.166,              0.0092278,              0.0092278,              0.0092278
                     41,                 0.8395,                0.50486,                 1.0285,                0.93029,                0.83115,                0.90079,                0.66649,                 0.9579,                0.59002,                 1.0676,               0.009208,               0.009208,               0.009208
                     42,                0.83237,                0.49497,                 1.0227,                0.96791,                0.91274,                0.96976,                0.79809,                0.72384,                0.37601,                0.93228,              0.0091882,              0.0091882,              0.0091882
                     43,                0.82702,                0.49021,                 1.0195,                0.94905,                0.88576,                  0.952,                0.75575,                0.80565,                0.43202,                0.96984,              0.0091684,              0.0091684,              0.0091684
                     44,                0.82777,                0.49239,                 1.0196,                0.94917,                0.90096,                0.95797,                0.75762,                0.80041,                0.42288,                0.97396,              0.0091486,              0.0091486,              0.0091486
                     45,                0.82678,                 0.4894,                 1.0218,                0.94105,                0.89965,                0.95424,                0.76128,                  0.798,                 0.4398,                 0.9759,              0.0091288,              0.0091288,              0.0091288
                     46,                   0.82,                0.48727,                 1.0221,                0.85223,                0.72426,                 0.7805,                0.51746,                 1.2181,                0.88544,                 1.3045,               0.009109,               0.009109,               0.009109
                     47,                 0.8185,                0.48688,                 1.0157,                0.96533,                  0.911,                0.96723,                0.79089,                0.72838,                0.37858,                0.93867,              0.0090892,              0.0090892,              0.0090892
                     48,                0.81629,                0.48064,                 1.0165,                0.96208,                0.90532,                0.96607,                0.78268,                 0.7528,                0.39954,                0.95265,              0.0090694,              0.0090694,              0.0090694
                     49,                0.80608,                0.47477,                 1.0113,                0.97417,                0.92166,                0.97287,                0.80097,                0.71656,                0.36411,                0.93299,              0.0090496,              0.0090496,              0.0090496
                     50,                0.80567,                0.47355,                 1.0134,                0.96982,                0.93412,                0.97914,                0.80899,                0.69296,                0.34129,                0.91841,              0.0090298,              0.0090298,              0.0090298
                     51,                0.80944,                0.47447,                 1.0088,                0.93626,                0.85871,                0.93627,                0.73958,                0.82063,                0.49206,                0.99732,                0.00901,                0.00901,                0.00901
                     52,                 0.8074,                0.47373,                 1.0112,                0.97115,                0.94503,                0.98008,                0.81843,                0.68888,                0.33516,                0.92197,              0.0089902,              0.0089902,              0.0089902
                     53,                0.80007,                0.46934,                   1.01,                0.91706,                0.78098,                 0.8789,                0.61035,                 1.1357,                0.66259,                 1.1725,              0.0089704,              0.0089704,              0.0089704
                     54,                0.80016,                0.46963,                 1.0055,                0.97599,                0.91798,                0.97002,                0.80697,                0.68186,                0.35948,                0.91561,              0.0089506,              0.0089506,              0.0089506
